Virtual User Script started at: 16-Oct-25 2:53:07 PM	[MsgId: MMSG-15967]
Registration.c(107): lr_think_time: 2.64 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Registration.c(109): Notify: Transaction "PetStore_SignOut_T03" started.	[MsgId: MMSG-16999]
Registration.c(111): web_reg_find started  	[MsgId: MMSG-26355]
Registration.c(111): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Registration.c(114): web_url("Account.action_2") started  	[MsgId: MMSG-26355]
Registration.c(114): Redirecting "https://petstore.octoperf.com/actions/Account.action?signoff=" (redirection depth is 0)  	[MsgId: MMSG-26694]
Registration.c(114): To location "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26693]
Registration.c(114): Resource "https://petstore.octoperf.com/css/jpetstore.css" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/logo-topbar.svg" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/cart.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/separator.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/sm_fish.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/sm_dogs.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/sm_reptiles.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/sm_cats.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/sm_birds.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/fish_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/dogs_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/cats_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/reptiles_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/birds_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Resource "https://petstore.octoperf.com/images/splash.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(114): Registered web_reg_find successful for "Text=Sign In" (count=1)  	[MsgId: MMSG-26364]
Registration.c(114): web_url("Account.action_2") was successful, 4736 body bytes, 518 header bytes  	[MsgId: MMSG-26386]
Registration.c(123): Notify: Transaction "PetStore_SignOut_T03" ended with a "Pass" status (Duration: 0.2508 Wasted Time: 0.0000).	[MsgId: MMSG-16871]
Login.c(4): Notify: Transaction "PetStore_ClickOnSignIn_T01" started.	[MsgId: MMSG-16999]
Login.c(6): web_reg_find started  	[MsgId: MMSG-26355]
Login.c(6): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Login.c(9): web_link("Sign In") started  	[MsgId: MMSG-26355]
Login.c(9): Linking to "https://petstore.octoperf.com/actions/Account.action?signonForm=", Target Frame=""  	[MsgId: MMSG-27994]
Login.c(9): Resource "https://petstore.octoperf.com/css/jpetstore.css" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(9): Resource "https://petstore.octoperf.com/images/logo-topbar.svg" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(9): Resource "https://petstore.octoperf.com/images/cart.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(9): Resource "https://petstore.octoperf.com/images/separator.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(9): Resource "https://petstore.octoperf.com/images/sm_fish.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(9): Resource "https://petstore.octoperf.com/images/sm_dogs.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(9): Resource "https://petstore.octoperf.com/images/sm_reptiles.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(9): Resource "https://petstore.octoperf.com/images/sm_cats.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(9): Resource "https://petstore.octoperf.com/images/sm_birds.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(9): Registered web_reg_find successful for "Text=Please enter your username and password" (count=1)  	[MsgId: MMSG-26364]
Login.c(9): web_link("Sign In") was successful, 3858 body bytes, 225 header bytes  	[MsgId: MMSG-26386]
Login.c(13): Notify: Transaction "PetStore_ClickOnSignIn_T01" ended with a "Pass" status (Duration: 0.1272 Wasted Time: 0.0000).	[MsgId: MMSG-16871]
Login.c(15): lr_think_time: 2.95 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Login.c(17): Notify: Transaction "PetStore_Login_T01" started.	[MsgId: MMSG-16999]
Login.c(18): web_reg_find started  	[MsgId: MMSG-26355]
Login.c(18): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Login.c(20): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Login.c(20): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Login.c(26): web_submit_form("Account.action") started  	[MsgId: MMSG-26355]
Login.c(26): Notify: Parameter Substitution: parameter "randomUsername" =  "EKZR"	[MsgId: MMSG-13992]
Login.c(26): Notify: Parameter Substitution: parameter "randompass" =  "sdsq"	[MsgId: MMSG-13992]
Login.c(26): Submitting form to "https://petstore.octoperf.com/actions/Account.action", Target Frame=""  	[MsgId: MMSG-27978]
Login.c(26): Redirecting "https://petstore.octoperf.com/actions/Account.action" (redirection depth is 0)  	[MsgId: MMSG-26694]
Login.c(26): To location "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26693]
Login.c(26): Resource "https://petstore.octoperf.com/css/jpetstore.css" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/logo-topbar.svg" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/cart.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/separator.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/sm_fish.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/sm_dogs.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/sm_reptiles.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/sm_cats.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/sm_birds.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/fish_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/dogs_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/cats_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/reptiles_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/birds_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Resource "https://petstore.octoperf.com/images/splash.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Login.c(26): Found resource "https://petstore.octoperf.com/images/banner_fish.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
Login.c(26): Notify: Saving Parameter "ProductName_1 = BIRDS".	[MsgId: MMSG-13798]
Login.c(26): Notify: Saving Parameter "ProductName_2 = FISH".	[MsgId: MMSG-13798]
Login.c(26): Notify: Saving Parameter "ProductName_3 = DOGS".	[MsgId: MMSG-13798]
Login.c(26): Notify: Saving Parameter "ProductName_4 = REPTILES".	[MsgId: MMSG-13798]
Login.c(26): Notify: Saving Parameter "ProductName_5 = CATS".	[MsgId: MMSG-13798]
Login.c(26): Notify: Saving Parameter "ProductName_6 = BIRDS".	[MsgId: MMSG-13798]
Login.c(26): Notify: Saving Parameter "ProductName_count = 6".	[MsgId: MMSG-13798]
Login.c(26): Registered web_reg_find successful for "Text=My Account" (count=1)  	[MsgId: MMSG-26364]
Login.c(26): web_submit_form("Account.action") was successful, 11416 body bytes, 727 header bytes  	[MsgId: MMSG-26386]
Login.c(34): Notify: Transaction "PetStore_Login_T01" ended with a "Pass" status (Duration: 0.4993 Wasted Time: 0.0026).	[MsgId: MMSG-16871]
Ending action Login.	[MsgId: MMSG-15918]
Starting action AddToCard.	[MsgId: MMSG-15919]
AddToCard.c(8): Notify: Transaction "PetStore_AddAproduct_T01" started.	[MsgId: MMSG-16999]
AddToCard.c(11): Notify: Parameter Substitution: parameter "ProductName_count" =  "6"	[MsgId: MMSG-13992]
AddToCard.c(12): Notify: Parameter Substitution: parameter "ProductName_6" =  "BIRDS"	[MsgId: MMSG-13992]
AddToCard.c(14): Notify: Saving Parameter "RandCategory = BIRDS".	[MsgId: MMSG-13798]
AddToCard.c(15): Notify: Parameter Substitution: parameter "RandCategory" =  "BIRDS"	[MsgId: MMSG-13992]
AddToCard.c(15): Random category selected in Action2 = BIRDS	[MsgId: MMSG-17999]
AddToCard.c(17): web_reg_find started  	[MsgId: MMSG-26355]
AddToCard.c(17): Notify: Parameter Substitution: parameter "RandCategory" =  "BIRDS"	[MsgId: MMSG-13992]
AddToCard.c(17): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
AddToCard.c(20): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
AddToCard.c(20): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
AddToCard.c(27): web_url("Catalog.action_2") started  	[MsgId: MMSG-26355]
AddToCard.c(27): Notify: Parameter Substitution: parameter "RandCategory" =  "BIRDS"	[MsgId: MMSG-13992]
AddToCard.c(27): Resource "https://petstore.octoperf.com/css/jpetstore.css" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
AddToCard.c(27): Resource "https://petstore.octoperf.com/images/logo-topbar.svg" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
AddToCard.c(27): Resource "https://petstore.octoperf.com/images/cart.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
AddToCard.c(27): Resource "https://petstore.octoperf.com/images/separator.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
AddToCard.c(27): Resource "https://petstore.octoperf.com/images/sm_fish.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
AddToCard.c(27): Resource "https://petstore.octoperf.com/images/sm_dogs.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
AddToCard.c(27): Resource "https://petstore.octoperf.com/images/sm_reptiles.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
AddToCard.c(27): Resource "https://petstore.octoperf.com/images/sm_cats.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
AddToCard.c(27): Resource "https://petstore.octoperf.com/images/sm_birds.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
AddToCard.c(27): Resource "https://petstore.octoperf.com/images/banner_fish.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
AddToCard.c(27): Notify: Saving Parameter "productId_1 = AV-CB-01".	[MsgId: MMSG-13798]
AddToCard.c(27): Notify: Saving Parameter "productId_2 = AV-SB-02".	[MsgId: MMSG-13798]
AddToCard.c(27): Notify: Saving Parameter "productId_count = 2".	[MsgId: MMSG-13798]
AddToCard.c(27): Registered web_reg_find successful for "Text=BIRDS" (count=1)  	[MsgId: MMSG-26364]
AddToCard.c(27): web_url("Catalog.action_2") was successful, 3625 body bytes, 225 header bytes  	[MsgId: MMSG-26386]
AddToCard.c(36): Notify: Transaction "PetStore_AddAproduct_T01" ended with a "Pass" status (Duration: 0.2916 Wasted Time: 0.0002).	[MsgId: MMSG-16871]
